product_id,name,price,quantity,category,description,expiration_date,rating,status
1,Сливки,2899.0,171,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2014-02-07,1.4,New
17,Тульская,6485.0,974,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2011-02-14,2.26,New
32,Турнепс,5407.0,750,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2025-02-14,4.35,New
42,Фенхель,6394.0,769,Овощи,Подходит для использования в качестве замены традиционных молочных продуктов.,2002-01-10,4.62,New
43,Гауда,1277.0,794,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2021-05-02,2.05,New
48,Краснодарская,5875.0,750,Напитки,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2019-03-03,1.58,New
51,Мандарин,5515.0,311,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2001-04-02,0.94,New
61,Бадьян,6300.0,627,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1997-02-14,3.8,New
65,Пахта,1645.0,706,Молочные продукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2024-02-11,0.29,New
85,Каша из теффа,804.0,441,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2029-04-05,1.43,New
95,Куриные крылышки,9249.0,465,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2026-01-01,2.06,New
